Row,Column,Severity,Error,Error Type
2,order_id,critical,Missing order ID,missing_value
2,customer_name,medium,Missing customer name,missing_value
2,phone,high,Invalid phone number length: expected 10 digits for India,length_error
2,payment_method,high,Missing payment method,missing_value
3,order_id,critical,Missing order ID,missing_value
3,customer_name,medium,Missing customer name,missing_value
3,phone,high,Invalid phone number length: expected 10 digits for India,length_error
3,payment_method,high,Missing payment method,missing_value
4,order_id,critical,Missing order ID,missing_value
4,customer_name,medium,Missing customer name,missing_value
4,phone,high,Invalid phone number length: expected 10 digits for India,length_error
4,payment_method,high,Missing payment method,missing_value
5,order_id,critical,Missing order ID,missing_value
5,customer_name,medium,Missing customer name,missing_value
5,phone,high,Invalid phone number length: expected 10 digits for India,length_error
5,payment_method,high,Missing payment method,missing_value
6,order_id,critical,Missing order ID,missing_value
6,customer_name,medium,Missing customer name,missing_value
6,phone,high,Invalid phone number length: expected 10 digits for India,length_error
6,payment_method,high,Missing payment method,missing_value
7,order_id,critical,Missing order ID,missing_value
7,customer_name,medium,Missing customer name,missing_value
7,phone,high,Invalid phone number length: expected 10 digits for India,length_error
7,payment_method,high,Missing payment method,missing_value
8,order_id,critical,Missing order ID,missing_value
8,customer_name,medium,Missing customer name,missing_value
8,email,high,Missing email address,missing_value
8,phone,high,Invalid phone number length: expected 10 digits for India,length_error
8,payment_method,high,Missing payment method,missing_value
9,order_id,critical,Missing order ID,missing_value
9,customer_name,medium,Missing customer name,missing_value
9,phone,high,Invalid phone number length: expected 10 digits for India,length_error
9,payment_method,high,Missing payment method,missing_value
10,order_id,critical,Missing order ID,missing_value
10,customer_name,medium,Missing customer name,missing_value
10,email,high,Missing email address,missing_value
10,phone,high,Invalid phone number length: expected 10 digits for India,length_error
10,payment_method,high,Missing payment method,missing_value
11,order_id,critical,Missing order ID,missing_value
11,customer_name,medium,Missing customer name,missing_value
11,phone,high,Invalid phone number length: expected 10 digits for India,length_error
11,payment_method,high,Missing payment method,missing_value
12,order_id,critical,Missing order ID,missing_value
12,customer_name,medium,Missing customer name,missing_value
12,phone,high,Invalid phone number length: expected 10 digits for India,length_error
12,payment_method,high,Missing payment method,missing_value
13,order_id,critical,Missing order ID,missing_value
13,customer_name,medium,Missing customer name,missing_value
13,phone,high,Invalid phone number length: expected 10 digits for India,length_error
13,payment_method,high,Missing payment method,missing_value
14,order_id,critical,Missing order ID,missing_value
14,customer_name,medium,Missing customer name,missing_value
14,phone,high,Invalid phone number length: expected 10 digits for India,length_error
